"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chava gamer\Code\wormhole_client\app.js", "JavaScript", 0, 0, 93, 0, 0, 3, 29, 125
"c:\Users\chava gamer\Code\wormhole_client\img\bx-calendar-week.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chava gamer\Code\wormhole_client\img\bx-menu-alt-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chava gamer\Code\wormhole_client\package.json", "JSON", 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\chava gamer\Code\wormhole_client\public\404.css", "CSS", 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\chava gamer\Code\wormhole_client\public\buscar.js", "JavaScript", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\chava gamer\Code\wormhole_client\public\calendario_script.js", "JavaScript", 0, 0, 71, 0, 0, 0, 13, 84
"c:\Users\chava gamer\Code\wormhole_client\public\contactCSS.css", "CSS", 0, 0, 0, 72, 0, 0, 14, 86
"c:\Users\chava gamer\Code\wormhole_client\public\deleteReport.js", "JavaScript", 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\chava gamer\Code\wormhole_client\public\editReport.js", "JavaScript", 0, 0, 145, 0, 0, 0, 34, 179
"c:\Users\chava gamer\Code\wormhole_client\public\faqs.css", "CSS", 0, 0, 0, 152, 0, 0, 32, 184
"c:\Users\chava gamer\Code\wormhole_client\public\fetchAllComments.js", "JavaScript", 0, 0, 41, 0, 0, 0, 11, 52
"c:\Users\chava gamer\Code\wormhole_client\public\fetchAllReportes.js", "JavaScript", 0, 0, 52, 0, 0, 0, 13, 65
"c:\Users\chava gamer\Code\wormhole_client\public\fetchBlogData.js", "JavaScript", 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\chava gamer\Code\wormhole_client\public\fetchDeporteData.js", "JavaScript", 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\chava gamer\Code\wormhole_client\public\fetchEditarFaqsData.js", "JavaScript", 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\chava gamer\Code\wormhole_client\public\fetchEstudioData.js", "JavaScript", 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\chava gamer\Code\wormhole_client\public\fetchFaqsData.js", "JavaScript", 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\chava gamer\Code\wormhole_client\public\fetchHobbieData.js", "JavaScript", 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\chava gamer\Code\wormhole_client\public\fetchImageData.js", "JavaScript", 0, 0, 18, 0, 0, 0, 3, 21
